iter	Logloss
0	0.5725104418
1	0.5342884134
2	0.5131623497
3	0.4932448804
4	0.4816780718
5	0.4574643168
6	0.4518364766
7	0.4459222727
8	0.4414797117
9	0.4371622522
10	0.4345691396
11	0.4277759913
12	0.4237261525
13	0.4201213721
14	0.4186287537
15	0.4172145055
16	0.4148347038
17	0.4138608662
18	0.4125491466
19	0.4109649621
20	0.4098945788
21	0.4088142214
22	0.4078448625
23	0.4069343903
24	0.4058821896
25	0.4053316064
26	0.4045473632
27	0.403709226
28	0.4030336847
29	0.4025678756
30	0.4018999901
31	0.4010748145
32	0.400271318
33	0.3986596899
34	0.3982220066
35	0.3977607597
36	0.3969951919
37	0.3964269876
38	0.3957977689
39	0.3946807702
40	0.3938398775
41	0.3916731666
42	0.3910265346
43	0.3894680473
44	0.3889746354
45	0.3879696654
46	0.3876953872
47	0.3873851621
48	0.3870574006
49	0.3865905964
50	0.3859096556
51	0.3852279064
52	0.3845946559
53	0.3843492565
54	0.3840764242
55	0.383802108
56	0.3836034494
57	0.3831314735
58	0.3827027898
59	0.3824238897
60	0.3819423548
61	0.3814238119
62	0.3811987751
63	0.3809802219
64	0.3806651712
65	0.3800035097
66	0.3796131545
67	0.3793137644
68	0.3783031679
69	0.3780608626
70	0.3777575701
71	0.3774550497
72	0.3772543517
73	0.3769243575
74	0.3758625875
75	0.3756551085
76	0.37522856
77	0.3748221247
78	0.3742565712
79	0.3739599463
80	0.3731877147
81	0.3728049749
82	0.3722917009
83	0.3720851865
84	0.3715245504
85	0.3712877966
86	0.3710339208
87	0.3708435096
88	0.3704307342
89	0.3699841215
90	0.3697663144
91	0.3696340215
92	0.3692458439
93	0.3691224386
94	0.3688260945
95	0.3685108896
96	0.3682844908
97	0.3680490944
98	0.3677467929
99	0.3670858424
100	0.3666947501
101	0.3665617376
102	0.3660087036
103	0.3658474647
104	0.3656573852
105	0.3654035734
106	0.3652532093
107	0.3650565853
108	0.3647839202
109	0.3644199516
110	0.3641320175
111	0.3639801789
112	0.3635679791
113	0.3633245342
114	0.3630979108
115	0.362953051
116	0.3627615553
117	0.3625556641
118	0.3623854143
119	0.362230364
120	0.3620568834
121	0.3616951324
122	0.3615843679
123	0.3614848792
124	0.3613598627
125	0.3610684546
126	0.3609682254
127	0.3607684127
128	0.3606804967
129	0.3603259227
130	0.3600561667
131	0.3599154059
132	0.3597315065
133	0.3595779225
134	0.3594789862
135	0.3592483928
136	0.3591480359
137	0.359048766
138	0.3587958143
139	0.3586603309
140	0.3584611149
141	0.3582681881
142	0.3580682896
143	0.3579477887
144	0.3578332417
145	0.3576759859
146	0.3574358997
147	0.3573517721
148	0.357049258
149	0.3569084648
150	0.3566453537
151	0.356546968
152	0.3563260603
153	0.35618026
154	0.356041535
155	0.3557906191
156	0.3556325942
157	0.3555408946
158	0.3553601913
159	0.3552886598
160	0.3550815018
161	0.354859497
162	0.3547211512
163	0.3546612781
164	0.3544649613
165	0.3544014135
166	0.35430074
167	0.3541413535
168	0.354082456
169	0.3539719243
170	0.3538529825
171	0.3536359034
172	0.3532589893
173	0.3531058221
174	0.3529633374
175	0.3527553987
176	0.3525358003
177	0.3522624419
178	0.3521687359
179	0.3520994493
180	0.3520388263
181	0.3519243708
182	0.3518681875
183	0.3517004715
184	0.3515917805
185	0.3514952473
186	0.3513166672
187	0.3512549591
188	0.3509966592
189	0.350881861
190	0.3507931919
191	0.3506435699
192	0.350599498
