iter	Passed	Remaining
399	76332	65837
400	76529	65651
401	76721	65461
402	76896	65256
403	77076	65057
404	77273	64871
405	77445	64664
406	77617	64458
407	77773	64239
408	77927	64018
409	78106	63818
410	78303	63633
411	78480	63431
412	78651	63226
413	78846	63039
414	79033	62846
415	79203	62639
416	79400	62454
417	79588	62262
418	79788	62078
419	79976	61886
420	80166	61696
421	80358	61506
422	80545	61313
423	80739	61126
424	80935	60939
425	81124	60748
426	81294	60542
427	81457	60331
428	81639	60135
429	81794	59919
430	81987	59730
431	82181	59543
432	82347	59336
433	82542	59149
434	82713	58945
435	82878	58736
436	83029	58519
437	83223	58332
438	83392	58127
439	83564	57925
440	83747	57730
441	83945	57546
442	84123	57348
443	84277	57134
444	84437	56923
445	84624	56732
446	84818	56545
447	84994	56346
448	85162	56142
449	85358	55957
450	85526	55753
451	85706	55557
452	85877	55356
453	86072	55169
454	86226	54957
455	86400	54757
456	86592	54570
457	86752	54362
458	86944	54174
459	87142	53990
460	87319	53793
461	87517	53608
462	87675	53400
463	87856	53206
464	88045	53016
465	88213	52814
466	88414	52632
467	88611	52447
468	88811	52264
469	88982	52064
470	89180	51880
471	89341	51674
472	89507	51471
473	89696	51281
474	89872	51085
475	90071	50901
476	90230	50695
477	90426	50510
478	90619	50323
479	90787	50122
480	90986	49938
481	91142	49731
482	91337	49545
483	91536	49361
484	91699	49158
485	91886	48968
486	92066	48774
487	92230	48572
488	92423	48385
489	92607	48193
490	92776	47994
491	92985	47815
492	93140	47609
493	93342	47427
494	93521	47233
495	93720	47049
496	93912	46861
497	94105	46674
498	94283	46480
499	94478	46294
500	94641	46092
501	94835	45906
502	95016	45713
503	95182	45513
504	95353	45316
505	95532	45122
506	95730	44938
507	95926	44752
508	96083	44549
509	96278	44363
510	96473	44177
511	96663	43989
512	96836	43793
513	97034	43608
514	97209	43414
515	97374	43214
516	97538	43015
517	97703	42816
518	97874	42619
519	98062	42430
520	98257	42244
521	98442	42054
522	98639	41869
523	98818	41677
524	98984	41479
525	99182	41294
526	99356	41099
527	99552	40914
528	99746	40728
529	99945	40544
530	100125	40351
531	100281	40150
532	100450	39954
533	100645	39768
534	100836	39580
535	101025	39392
536	101211	39203
537	101404	39016
538	101607	38833
539	101807	38648
540	101969	38450
541	102117	38246
542	102279	38048
543	102447	37852
544	102602	37652
545	102771	37456
546	102945	37263
547	103133	37075
548	103324	36888
549	103513	36700
550	103711	36515
551	103908	36330
552	104096	36142
553	104252	35942
554	104438	35753
555	104601	35556
556	104796	35371
557	104962	35175
558	105166	34992
559	105335	34798
560	105523	34610
561	105726	34427
562	105923	34241
563	106113	34054
564	106290	33862
565	106479	33674
566	106677	33489
567	106864	33301
568	107060	33115
569	107255	32929
570	107440	32740
571	107600	32543
572	107794	32357
573	107989	32171
574	108171	31981
575	108358	31792
576	108545	31604
577	108742	31418
578	108929	31230
579	109102	31037
580	109298	30851
581	109488	30664
582	109659	30471
583	109846	30282
584	110021	30091
585	110213	29904
586	110412	29719
587	110575	29524
588	110771	29338
589	110962	29151
590	111148	28962
591	111311	28767
592	111503	28580
593	111696	28394
594	111862	28200
595	112053	28013
596	112238	27824
597	112427	27636
598	112628	27452
599	112815	27263
600	112979	27069
601	113168	26882
602	113335	26689
603	113521	26500
604	113697	26310
605	113881	26121
606	114030	25924
607	114196	25731
608	114392	25545
609	114563	25354
610	114739	25163
611	114931	24976
612	115103	24785
613	115289	24597
614	115450	24404
615	115655	24220
616	115825	24028
617	116002	23838
618	116159	23644
619	116354	23458
620	116514	23265
621	116707	23078
622	116886	22889
623	117079	22702
624	117239	22510
625	117401	22317
626	117587	22129
627	117780	21943
628	117972	21756
629	118173	21571
630	118364	21384
631	118560	21198
632	118762	21013
633	118937	20823
634	119112	20633
635	119311	20448
636	119480	20257
637	119659	20068
638	119843	19880
639	120022	19691
640	120219	19505
641	120415	19319
642	120610	19132
643	120792	18944
644	120959	18753
645	121151	18566
646	121349	18380
647	121522	18190
648	121674	17998
649	121864	17811
650	122052	17623
651	122240	17436
652	122432	17249
653	122625	17062
654	122820	16876
655	123011	16689
656	123195	16501
657	123385	16313
658	123585	16128
659	123772	15940
660	123972	15754
661	124136	15563
662	124297	15373
663	124495	15186
664	124693	15000
665	124884	14813
666	125087	14627
667	125274	14440
668	125466	14253
669	125629	14063
670	125798	13873
671	125991	13686
672	126170	13498
673	126325	13307
674	126495	13118
675	126665	12928
676	126829	12739
677	126991	12549
678	127160	12360
679	127321	12170
680	127521	11984
681	127682	11794
682	127878	11608
683	128069	11421
684	128242	11232
685	128403	11043
686	128605	10857
687	128805	10671
688	129007	10485
689	129186	10297
690	129369	10109
691	129555	9922
692	129755	9736
693	129921	9547
694	130112	9360
695	130309	9174
696	130485	8986
697	130678	8799
698	130888	8613
699	131049	8424
700	131207	8235
701	131396	8048
702	131578	7861
703	131754	7673
704	131919	7484
705	132218	7303
706	132411	7116
707	132603	6929
708	132765	6741
709	132932	6553
710	133093	6364
711	133286	6177
712	133483	5990
713	133642	5802
714	133832	5615
715	133996	5427
716	134198	5240
717	134404	5054
718	134577	4866
719	134761	4679
720	134930	4491
721	135118	4304
722	135310	4117
723	135510	3930
724	135689	3743
725	135885	3556
726	136057	3368
727	136253	3181
728	136427	2994
729	136615	2807
730	136797	2619
731	136968	2432
732	137127	2244
733	137315	2057
734	137510	1870
735	137709	1683
736	137899	1496
737	138109	1309
738	138279	1122
739	138457	935
740	138653	748
741	138872	561
742	139078	374
743	139288	187
744	139466	0
